"","latitude","longitude","brightness","scan","track","acq_date","acq_time","version","bright_t31","frp","daynight","bright_ti4","bright_ti5"
"147",-9.941,-44.48,327.4,1.1,1,"2020-10-22",140,"6.0NRT",298,24.8,"N",NA,NA
"148",-9.874,-44.291,309.2,1.1,1,"2020-10-22",140,"6.0NRT",299.1,5.9,"N",NA,NA
"149",-9.766,-43.796,307.3,1.1,1.1,"2020-10-22",140,"6.0NRT",294.6,7.6,"N",NA,NA
"150",-9.75,-43.82,308.2,1.1,1.1,"2020-10-22",140,"6.0NRT",295.2,8.2,"N",NA,NA
"151",-10.494,-49.158,306.1,1.3,1.1,"2020-10-22",140,"6.0NRT",295.9,6.8,"N",NA,NA
"152",-9.739,-43.874,308.3,1.1,1.1,"2020-10-22",140,"6.0NRT",294.9,9.2,"N",NA,NA
"153",-10.207,-47.3,307.3,1,1,"2020-10-22",140,"6.0NRT",296.3,5.7,"N",NA,NA
"154",-10.239,-47.666,324.9,1.1,1,"2020-10-22",140,"6.0NRT",295.2,22.3,"N",NA,NA
"155",-10.24,-47.676,332.6,1.1,1,"2020-10-22",140,"6.0NRT",295.7,33.3,"N",NA,NA
"156",-10.23,-47.668,315.8,1.1,1,"2020-10-22",140,"6.0NRT",294.8,12.8,"N",NA,NA
"157",-9.638,-43.618,315.1,1.2,1.1,"2020-10-22",140,"6.0NRT",295,15.2,"N",NA,NA
"158",-9.639,-43.629,315.2,1.2,1.1,"2020-10-22",140,"6.0NRT",294.5,15.8,"N",NA,NA
"159",-9.686,-43.942,309.4,1.1,1.1,"2020-10-22",140,"6.0NRT",296.6,7.9,"N",NA,NA
"160",-9.688,-43.952,308.5,1.1,1.1,"2020-10-22",140,"6.0NRT",296.2,7.3,"N",NA,NA
"161",-10.177,-47.353,308.9,1,1,"2020-10-22",140,"6.0NRT",295.4,7.4,"N",NA,NA
"162",-10.222,-47.679,308.3,1.1,1,"2020-10-22",140,"6.0NRT",292.6,7.6,"N",NA,NA
"163",-9.625,-43.598,327.5,1.2,1.1,"2020-10-22",140,"6.0NRT",295.7,30.8,"N",NA,NA
"164",-9.627,-43.609,345,1.2,1.1,"2020-10-22",140,"6.0NRT",297.2,64.8,"N",NA,NA
"165",-10.175,-47.411,315.7,1.1,1,"2020-10-22",140,"6.0NRT",296.4,12.7,"N",NA,NA
"166",-9.615,-43.6,307.6,1.2,1.1,"2020-10-22",140,"6.0NRT",294.7,8.4,"N",NA,NA
"167",-9.637,-43.876,305.6,1.1,1.1,"2020-10-22",140,"6.0NRT",294.8,5.5,"N",NA,NA
"168",-10.42,-49.452,306.8,1.3,1.1,"2020-10-22",140,"6.0NRT",295.4,8.2,"N",NA,NA
"169",-10.738,-52.089,304.3,2.1,1.4,"2020-10-22",140,"6.0NRT",293.3,10.1,"N",NA,NA
"170",-10.163,-47.644,314.4,1.1,1,"2020-10-22",140,"6.0NRT",297.1,12.1,"N",NA,NA
"171",-10.152,-47.635,312,1.1,1,"2020-10-22",140,"6.0NRT",296.5,10,"N",NA,NA
"172",-10.73,-52.038,304.5,2.1,1.4,"2020-10-22",140,"6.0NRT",293.1,10.6,"N",NA,NA
"173",-10.717,-52.039,304.7,2.1,1.4,"2020-10-22",140,"6.0NRT",293.2,11.4,"N",NA,NA
"174",-10.72,-52.058,304.1,2.1,1.4,"2020-10-22",140,"6.0NRT",293.2,9.7,"N",NA,NA
"175",-10.682,-52.063,305.8,2.1,1.4,"2020-10-22",140,"6.0NRT",292.9,14.3,"N",NA,NA
"176",-9.64,-44.445,311,1.1,1,"2020-10-22",140,"6.0NRT",298.2,7.4,"N",NA,NA
"177",-9.642,-44.455,316.7,1.1,1,"2020-10-22",140,"6.0NRT",298.2,12.3,"N",NA,NA
"178",-9.533,-43.792,312.6,1.2,1.1,"2020-10-22",140,"6.0NRT",295.5,12.5,"N",NA,NA
